IDENT,PROBLEM,PROBLEM_TYPE,LOCATION,PROBLEM_PART,TAGGEDPROBLEM,EFFECT,ACTION,ACTION_TYPE,INSTALL/REPLACE WITH,ACTION_PART,TAGGEDACTION,CAUSE
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,OK,ENGINE,,OVERRIDE,KILLED,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",,,IDLE,ADJUST,
100002,ENGINE IDLE OVERRIDE KILLED ENGINE.,OK,ENGINE,,OVERRIDE,KILLED,REMOVED & REPLACED FUEL SERVO,,,FUEL SERVO,REMOVED & REPLACED,
100003,ENGINE IDLE OVERRIDE KILLED ENGINE.,OK,ENGINE,,OVERRIDE,KILLED,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",,,"A/C, IDLE SPEED , LEAK","RUN , SET , CHECKED",
100004,ENGINE IDLE OVERRIDE KILLED ENGINE.,OK,ENGINE,,OVERRIDE,,"PERFORMED ENGINE RUN UP, FOUND CYLINDER 2 LOWER PLUG FOULED.",,,ENGINE,"RUN , FOUND",CYLINDER 2 LOWER PLUG FOULED
100005,#2 & 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING.,OK,#2 & 4 CYLINDER,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED GASKETS.,,,GASKETS,REMOVED & REPLACED,
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).,OK,ALL CYLINDER,ROCKER BOX COVER SCREWS,LOOSE,,TIGHTENED SCREWS.,,,SCREW,TIGHTENED,
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).,OK,ALL CYLINDER,INDUCTION TUBE HOSE CLAMPS,LOOSE,,TIGHTENED HOSE CLAMPS.,,,HOSE CLAMP,TIGHTENED,
100008,#3 INTAKE IS LEAKING.,OK,#3,INTAKE,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
100009,#2 INTAKE IS LEAKING.,OK,#2,INTAKE,LEAKING,,REMOVED & REPLACED #2 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
100010,#4 ROCKER COVER IS LEAKING.,OK,#4,ROCKER COVER,LEAKING,,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE",DIFFICULT,,,,,"PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK",,,"ENGINE, IDLE, SPARK","RUN, ADJUSTED, CLEANED",
100012,L/H REAR ENGINE BAFFLE CRACKED.,OK,L/H REAR ENGINE,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDERS).,OK,ALL CYLINDERS,INDUCTION TUBE HOSE CLAMPS,LOOSE,,TIGHTENED HOSE CLAMPS.,,,HOSE CLAMP,TIGHTENED,
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",OK,"#1, 2 & 3",ROCKER BOX COVER GASKETS,LEAKING,,INSTALLED NEW ROCKER BOX COVER GASKETS.,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
