IDENT,PROBLEM,TYPE,LOCATION,PART,TAGEDPROBLEM,ACTION,TYPE,WITH,INSTALL TYPE,ACTIONPART,TAGGEDACTION,CAUSE
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,DIFFICULT,,,,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.IDLE",,,,IDLE,ADJUST,
100002,ENGINE IDLE OVERRIDE KILLED ENGINE.,DIFFICULT,,,,REMOVED & REPLACED FUEL SERVO,,,,FUEL SERVO,REMOVED & REPLACED,
100003,ENGINE IDLE OVERRIDE KILLED ENGINE.,DIFFICULT,,,,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",,,,"A/C, IDLE SPEED , LEAK","RAN , SET , CHECK",
100004,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,Ok,ENGINE,,CHOKE & LOSE POWER,"PERFORMED ENGINE RUN UP, FOUND CYLINDER 2 LOWER PLUG FOULED.",,,,ENGINE,RAN,FOUND CYLINDER 2 LOWER PLUG FOULED
100005,#2 & 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING.,Ok,#2 & 4 CYLINDER,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).,Ok,ALL CYLINDER,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).,Ok,ALL CYLINDER,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100008,#3 INTAKE IS LEAKING.,Ok,#3,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100009,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100010,#4 ROCKER COVER IS LEAKING.,Ok,#4,ROCKER COVER,LEAKING,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE",Ok,ENGINE,,SHORT OF RUNWAY,"PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK",,,,"ENGINE, IDEL, SPARK","RAN, ADJUSTED, CLEANED",
100012,L/H REAR ENGINE BAFFLE CRACKED.,Ok,L/H REAR ENGINE ,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
