IDENT,LOCATION,PART,TGGEDPROBLEM
100001,ENGINE,,KILLED
100002,ENGINE,,KILLED
100003,ENGINE,,KILLED
100004,ENGINE,,CHOKE
100005,#2 & 4 CYL,ROCKER COVER GASKETS,LEAKING
100006,ALL CYL,ROCKER BOX COVER SCREWS,LOOSE
100007,ALL CYL,INDUCTION TUBE HOSE CLAMPS,LOOSE
100008,#3,INTAKE,LEAKING
100008,#3,INTAKE,LEAKING
100008,#3,INTAKE,LEAKING
100008,#3,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100010,#4,ROCKER COVER,LEAKING
100010,#4,ROCKER COVER,LEAKING
100010,#4,ROCKER COVER,LEAKING
100010,#4,ROCKER COVER,LEAKING
100010,#4,ROCKER COVER,LEAKING
100010,#4,ROCKER COVER,LEAKING
100010,#4,ROCKER COVER,LEAKING
100010,#4,ROCKER COVER,LEAKING
100011,ENGINE,,HOLDING SHORT OF RUNWAY
100012,L/H REAR ENGINE,BAFFLE,CRACKED
100012,L/H REAR ENGINE,BAFFLE,CRACKED
100012,L/H REAR ENGINE,BAFFLE,CRACKED
100012,L/H REAR ENGINE,BAFFLE,CRACKED
100013,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100013,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100014,"#1, 2 & 3",ROCKER BOX COVER GASKETS,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100016,#1 & 3,ROCKER COVER GASKET,LEAKING
100017,,ROCKER BOX COVER SCREWS,LOOSE
100017,,ROCKER BOX COVER SCREWS,LOOSE
100017,,ROCKER BOX COVER SCREWS,LOOSE
100017,,ROCKER BOX COVER SCREWS,LOOSE
100017,,ROCKER BOX COVER SCREWS,LOOSE
100017,,ROCKER BOX COVER SCREWS,LOOSE
100017,,ROCKER BOX COVER SCREWS,LOOSE
100018,#1 ENGINE,BAFFLE,CRACKED
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100019,#1,INTAKE GASKET,LEAKING
100020,CYL #1,ROCKER COVER,LEAKING
100021,CYL #4,INTAKE,LEAKING
100022,#2 & 4 CYLINDER,ROCKER COVER GASKETS,LEAKING
100023,,ROCKER BOX COVER SCREWS,LOOSE
100024,ALL CYL,INDUCTION TUBE HOSE CLAMPS,LOOSE
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100025,#1,INTAKE GASKET,LEAKING
100026,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100026,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100027,R/H,MAG BLAST TUBE,FELL OFF
100028,ENGINE,,RUN ROUGH
100029,ENGINE,,RUN ROUGH
