IDENT,LOCATION,PART,TGGEDPROBLEM
100001,ENGINE,,KILLED
100002,ENGINE,,KILLED
100003,ENGINE,,KILLED
100004,ENGINE,,CHOKE
100005,#2 & 4 CYL,ROCKER COVER GASKETS,LEAKING
100006,ALL CYL,ROCKER BOX COVER SCREWS,LOOSE
100007,ALL CYL,INDUCTION TUBE HOSE CLAMPS,LOOSE
100008,#3,INTAKE,LEAKING
100009,#2,INTAKE,LEAKING
100010,#4,ROCKER COVER,LEAKING
100011,ENGINE,,HOLDING SHORT OF RUNWAY
100012,L/H REAR ENGINE,BAFFLE,CRACKED
100013,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100014,"#1, 2 & 3",ROCKER BOX COVER GASKETS,LEAKING
100015,#2,ROCKER COVER GASKET,LEAKING
100016,#1 & 3,ROCKER COVER GASKET,LEAKING
100017,,ROCKER BOX COVER SCREWS,LOOSE
100018,#1 ENGINE,BAFFLE,CRACKED
100019,#1,INTAKE GASKET,LEAKING
100020,CYL #1,ROCKER COVER,LEAKING
100021,CYL #4,INTAKE,LEAKING
100022,#2 & 4 CYLINDER,ROCKER COVER GASKETS,LEAKING
100023,,ROCKER BOX COVER SCREWS,LOOSE
100024,ALL CYL,INDUCTION TUBE HOSE CLAMPS,LOOSE
100025,#1,INTAKE GASKET,LEAKING
100026,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100027,R/H,MAG BLAST TUBE,FELL OFF
100028,ENGINE,,RUN ROUGH
100029,ENGINE,,RUN ROUGH
100030,ENGINE,,RUN ROUGH
100031,#4,ROCKER COVER GASKET,LEAKING
100032,RIGHT ENG #4,AIR BAFFLE,CRACKED
100033,R/H ENG FWD,ALT ATTACH BOLT,LOOSE
100034,L/H ENGINE #4,AFT BAFFL,CRACKED
100035,RIGHT ENG,VALVE COVERS,LEAKING
100036,L/H ENGINE ALL 4,ROCKER COVER GASKETS,LEAKING
100037,L/H ENG #2,INTAKE,LEAKING
100038,ENGINE,,ROUGH
100039,ENGINE,,ROUGH
100040,ENGINE,,ROUGH
100041,#4,INTAKE,LEAKING
100042,#3,ROCKER COVER GASKET,LEAKING
100043,TOP L/H,BAFFLE,CRACK
100044,,OIL DIPSTICK,LOOSE
100045,#3,BRAKE,MISSING SCREW
100046,R/H SIDE,BAFFLE SEALS,TORN
100047,#2 & 4,ROCKER COVERS,LEAKING
100048,#3,AFT BAFFLE BRACKET,LOOSE
100049,#4 CYL,ROCKER COVER,LEAKING
100050,"#1, 2, & 6",COWL MOUNTS,TORN
100051,#4,INTAKE,LEAKING
100052,#2 & 4,ROCKER COVERS,LEAKING
100053,#4,INTAKE,LEAKING
100054,ENGINE,,QUIT
100055,L/H,BAFFLE PLUG,WORN
100056,#1,ROCKER COVER,LEAKING
100057,L/H ENGINE #2 & 4,BAFFLE SEALS,LOOSE
100058,R/H ENGINE #3,AFT BAFFLE SEAL,LOOSE
100059,#3,ROCKER COVER GASKET,TORN
100060,#4,ROCKER COVER GASKET,TORN
100061,#1,ROCKER COVER GASKET,LEAKING
100062,ENGINE,,HIGH OIL PRESS
100063,ENGINE,,HIGH OIL PRESS
100064,,A/C,COULDN'T START
100065,,VACUUM TUBE & OIL COOLER LINE,RUBBING
100066,,A/C ,970 RPM
100067,,FUEL PRESS,JUMPS INTO RED
100068,R/H ENG #2,INTAKE,LEAKS
100069,L/H ENG #4,BAFFLE,CRACKED
100070,#4 CYL,BAFFLE,CRACKED
100071,ENGINE,,OVER RIDE SPEED
100072,#2 & 4 SIDE,BAFFLE BRACE,BROKEN
100073,#4 CYL,INTAKE GASKET,LEAKING
100074,#4,ROCKER BOX COVER GASKET,LEAKING
100075,,BAFFLE PLUG HOLE,WORN
100076,ENGINE,,RUNNING ROUGH & VIBRATING
100077,ENGINE,,RUNNING ROUGH & VIBRATING
100078,ENGINE,,RUNNING ROUGH & VIBRATING
100079,ENGINE,,RUNNING ROUGH & VIBRATING
100080,ENGINE,,RUNNING ROUGH & VIBRATING
100081,#2,INTAKE,LEAKS
100082,#4,INTAKE,LEAKS
100083,#3,INTAKE TUBE GASKET,LEAKING
100084,#3 & 4,ROCKER COVER GASKETS,LEAKING
100085,ENGINE,,WOULD NOT START
100086,#2,INTAKE,LEAKING
100087,TOP FRONT R/H,BAFFLE SEAL,PULLED
100088,,ROCKER BOX COVER SCREWS,LOOSE
100089,#2,INDUCTION TUBE GASKET,LEAKING
100090,#2 & 4,ROCKER COVERS,LEAKING
100091,#1,INTAKE,LEAKING
100092,#3 & 4,ROCKER COVERS,LEAKING
100093,#1,ROCKER COVER,LEAKING
100094,L/H ENG #4,INTAKE GASKET,LEAKING
100095,,ROCKER BOX COVER SCREWS,LOOSE
100096,#4,ROCKER COVER,LEAKING
100097,#2,OIL RETURN LINE HOSE CLAMP,LOOSE
100098,ENGINE,,ROUGH
100099,ENGINE,,ROUGH
100100,#3,ROCKER COVER,LEAKING
100101,RIGHT SIDE,FUSELAGE,OIL FOUND
100102,R/H ENGINE #4,BAFFLE,MISSING
100103,R/H ENGINE #1 & 4,ROCKER COVERS,LEAKING
100104,L/H ENGINE #1 & 3,ROCKER COVERS,LEAKING
100105,ENGINE,,DIED
100106,#3,ROCKER COVER GASKET,LEAKING
100107,"#2, 4",ROCKER COVER GASKET,LEAKING
100108,#2 & 4 CYL,OIL RETURN LINE CLAMPS,LOOSE
100109,R/H ENGINE #2,INTAKE GASKET,LEAKING
100110,,BAFFLE SEALS,LOOSE
100111,L/H ENGINE #4,AFT BAFFLE,CRACKED
100112,L/H ENGINE #4,AFT BAFFLE,CRACKED
100113,#2,INTAKE,LEAKING
100114,L/H,INTAKE,GOUGE
100115,L/H ENGINE #3,ROCKER COVER,LEAKING
100116,#2 CYLINDER,,LOW COMPRESSION
100117,#4,ROCKER COVER,LEAKING
100118,L/H SIDE,FWD RUBBER SEAL,LOOSE
100119,#1 & 3,ROCKER COVER GASKETS,LEAKING
100120,R/H,BAFFLE,CRACK
100121,CYL #4,INTAKE,LEAKING
100122,#2,INTAKE,LEAKING
100123,#4,ROCKER COVER,LEAKING
