id,action,part,cyl,engine
100001,,,,
100002,REPLACED,,,
100003,,,,
100004,,,,
100005,REPLACED,GASKET,,
100006,TIGHTENED,SCREW,,
100007,TIGHTENED,HOSE CLAMP,,
100008,REPLACED,GASKET,,
100009,REPLACED,INTAKE GASKET,2,
100010,REPLACED,ROCKER COVER GASKET,4,
100011,,,,
100012,STOP DRILLED,CRACK,,
100013,TIGHTENED,HOSE CLAMP,,
100014,,,,
100015,REPLACED,ROCKER COVER GASKET,2,
100016,REPLACED,ROCKER COVER GASKET,3 1,
100017,TIGHTENED,SCREW,,
100018,,,,
100019,REPLACED,GASKET,,
100020,REPLACED,ROCKER COVER,,
100021,REPLACED,GASKET,,
100022,REPLACED,ROCKER COVER GASKET,,
100023,TIGHTENED,SCREW,,
100024,TIGHTENED,HOSE CLAMP,,
100025,,,,
100026,TIGHTENED,HOSE CLAMP,,
100027,,,,
100028,,,,
100029,,,,
100030,,,,
100031,REPLACED,GASKET,,
100032,REPLACED,AIR BAFFLE,4,
100033,SECURED,,,
100034,REPLACED,BAFFLE ASSY,,
100035,REPLACED,ALL ROCKER GASKET,,
100036,REPLACED,ALL ROCKER COVER GASKET,,
100037,,,,
100038,,,,
100039,,,,
100040,,,,
100041,REPLACED,INTAKE GASKET,4,
100042,REPLACED,ROCKER COVER GASKET,3,
100043,STOP DRILLED,CRACK,,
100044,REPLACED,,,
100045,REPLACED,SCREW,,
100046,,,,
100047,REPLACED,ROCKER COVER GASKET,4 2,
100048,REPLACED,MISSING RIVET,,
100049,REPLACED,GASKET,,
100050,REPLACED,,,
100051,REPLACED,GASKET,,
100052,REPLACED,GASKET,,
100053,REPLACED,GASKET & INSPECTED INTAKE TUBE,,
100054,,,,
100055,REPLACED,PLUG,,
100056,REPLACED,GASKET,,
100057,SECURED,SEAL,,
100058,SECURED,BAFFLE SEAL,,
100059,REPLACED,ROCKER COVER GASKET,3,
100060,REPLACED,ROCKER COVER GASKET,4,
100061,REPLACED,ROCKER COVER,,
100062,,,,
100063,,,,
100064,,,,
100065,,,,
100066,,,,
100067,CLEANED,,,
100068,REPLACED,GASKET,,
100069,STOP DRILLED,CRACK,,
100070,STOP DRILLED,CRACK,,
100071,,,,
100072,,,,
100073,REPLACED,GASKET,,
100074,REPLACED,ROCKER COVER GASKET,,
100075,,,,
100076,,,,
100077,,,,
100078,,,,
100079,,,,
100080,,,,
100081,REPLACED,GASKET,,
100082,REPLACED,GASKET,,
100083,REPLACED,GASKET,,
100084,REPLACED,GASKET,,
100085,,,,
100086,REPLACED,INTAKE GASKET,2,
100087,,,,
100088,TIGHTENED,SCREW,,
100089,REPLACED,INDUCTION TUBE GASKET,2,
100090,REPLACED,GASKET,,
100091,REPLACED,INTAKE GASKET,1,
100092,REPLACED,ROCKER COVER GASKET,4 3,
100093,REPLACED,ROCKER COVER GASKET,,
100094,REPLACED,INTAKE GASKET,4,
100095,TIGHTENED,SCREW,,
100096,REPLACED,ROCKER COVER GASKET,4,
100097,TIGHTENED,HOSE CLAMP,,
100098,,,,
100099,,,,
100100,REPLACED,GASKET,,
100101,,,,
100102,,,,
100103,REPLACED,R/H ROCKER COVER GASKET,,
100104,REPLACED,L/H ENGINE ROCKER COVER GASKET,,
100105,,,,
100106,REPLACED,ROCKER COVER GASKET,3,
100107,REPLACED,ROCKER COVER GASKET,4 2,
100108,TIGHTENED,CLAMP,,
100109,REPLACED,GASKET,,
100110,SECURED,BAFFLE SEAL,,
100111,,,,
100112,,,,
100113,REPLACED,INTAKE GASKET,,
100114,REPLACED,L/H INTAKE PIPE,1,
100115,REPLACED,L/H ENGINE #3 ROCKER COVER GASKET,,
100116,,,,
100117,REPLACED,GASKET,,
100118,SECURED,BAFFLE SEAL,,
100119,REPLACED,GASKET,,
100120,STOP DRILLED,,,
100121,REPLACED,INTAKE GASKET,,
100122,REPLACED,INTAKE GASKET,2,
100123,REPLACED,ROCKER GASKET,4,
100124,,,,
100125,,,,
100126,SECURED,R/H FRONT BAFFLE SEAL,,
100127,STOP DRILLED,CRACK,,
100128,REPLACED,GASKET,,
100129,REPLACED,GASKET,,
100130,,,,
100131,,,,
100132,REPLACED,ROCKER COVER GASKET,3 1,
100133,REPLACED,ROCKER COVER GASKET,,
100134,,,,
100135,REPLACED,,,
100136,,,,
100137,,,,
100138,,,,
100139,REPLACED,ALL 3 GASKET,,
100140,REPLACED,GASKET,,
100141,REPLACED,ROCKER COVER,4 2,
100142,REPLACED,INTAKE GASKET,4 3,
100143,,,,
100144,TORQUED,SCREW,,
