IDENT,ActionPart,ActionTaken
100001,IDLE,ADJUST
100002,FUEL SERVO,REMOVED & REPLACED
100003,IDLE,SET
100004,ENGINE,RUN UP
100005,GASKETS,REMOVED & REPLACED
100006,SCREWS,TIGHTENED
100007,HOSE CLAMPS,TIGHTENED
100008,GASKET,REMOVED & REPLACED
100009,NTAKE GASKET,REMOVED & REPLACED
100010,ROCKER COVER GASKET,REMOVED & REPLACED
100011,IDLE ,ADJUSTED
100012,,STOP DRILLED
100013,HOSE CLAMPS,TIGHTENED
100014,ROCKER BOX COVER GASKETS,INSTALLED
100015,ROCKER COVER GASKET,REMOVED & REPLACED
100016,ROCKER COVER GASKET,REMOVED & REPLACED
100017,SCREWS,TIGHTENED
100018,PATCH,FABRICATED
100019,GASKET,REPLACED
100020,ROCKER COVER,REPLACED
100021,GASKET,REPLACED
100022,ROCKER COVER GASKETS,REMOVED & REPLACED
100023,SCREWS,TIGHTENED
100024,HOSE CLAMPS,TIGHTENED
100025,INTAKE TUBE,REMOVED
100026,HOSE CLAMPS,TIGHTENED
100027,BAFFLE,REMOVED
100028,IAW,INSPECTED
100029,COMPRESSION,CHECK
100030,BAFFLE,INSTALL
100031,GASKET,REPLACED
100032,AIR BAFFLE,REMOVED & REPLACED
100033,ALT ATTACH BOLT & RESAFETIED,SECURED
100034,BAFFLE ASSY,REPLACED
100035,ROCKER GASKETS,REMOVED & REPLACED
100036,ROCKER COVER GASKETS,REPLACED
100037,TUBE,REMOVED
100038,A/C,RAN
100039,CYL,REMOVED
100040,ENGINE,REASSEMBLED
100041,INTAKE GASKET,REMOVED & REPLACED
100042,ROCKER COVER GASKET,REMOVED & REPLACED
100043,,STOP DRILLED
100044,DIPSTICK,REMOVED & REPLACED
100045,,"REPLACED, SCREW"
100046,TORN AREAS,APPLIED SILICONE
100047,ROCKER COVER GASKETS,REMOVED & REPLACED
100048,RIVETS,REMOVED & REPLACED
100049,GASKET,REMOVED & REPLACED
100050,MOUNTS,REMOVED & REPLACED
100051,GASKET,REMOVED & REPLACED
100052,GASKETS,REMOVED & REPLACED
100053,GASKET,REPLACED
100054,IDLE,ADJUSTED
100055,PLUG,REMOVED & REPLACED
100056,GASKET,REMOVED & REPLACED
100057,SEALS,SECURED
100058,BAFFLE SEAL,SECURED
100059,ROCKER COVER GASKET,REMOVED & REPLACED
100060,ROCKER COVER GASKET,REMOVED & REPLACED
100061,ROCKER COVER,REMOVED & REPLACED
100062,OIL PRESS RELIEF VALVE,ADJUSTED
100063,OIL PRESS,CHECKED
100064,A/C,STARTED
100065,CLAMP,MOVED
100066,IDLE,ADJUSTED
100067,TRANSDUCER GROUND PATH,CLEANED
100068,GASKET,REPLACED
100069,,
100070,,
100071,"A/C, IDLE",RAN
100072,BRACE,FABRICATED
100073,GASKET,REMOVED & REPLACED
100074,ROCKER COVER GASKET,REMOVED & REPLACED
100075,PLUG,INSTALLED
100076,A/C,"RAN, CHECK"
100077,"A/C., HAD VERY L",RAN
100078,"REASSEMBLY, INTA",
100079,CYL,REMOVED
100080,,DISASSEMBLED
100081,GASKET,REPLACED
100082,GASKET,REPLACED
100083,GASKET,REPLACED
100084,GASKETS,REPLACED
100085,SPARK PLUGS,CLEAN
100086,,REMOVED & REPLACED
100087,RIVET &SCREW,DRILLED OUT & INSTALLED & NUT
100088,SCREWS,TIGHTENED
100089,INDUCTION TUBE GASKET,REMOVED & REPLACED
100090,GASKETS,REMOVED & REPLACED
100091,,"REMOVED & REPLACED, INTAKE GASKET"
100092,ROCKER COVER GASKETS,REMOVED & REPLACED
100093,ROCKER COVER GASKET,REMOVED & REPLACED
100094,INTAKE GASKET,REMOVED & REPLACED
100095,SCREWS,TIGHTENED
100096,ROCKER COVER GASKET,REMOVED & REPLACED
100097,HOSE CLAMP,TIGHTENED
100098,EXHAUST VALVE,REAMING
100099,"COWLING, SPARK PLUGS.  EXH",REMOVED
100100,GASKET,REMOVED & REPLACED
100101,ENGINE,"REMOVED, RUN U"
100102,BOLT,INSTALLED
100103,ROCKER COVER GASKETS,REMOVED & REPLACED
100104,,"REMOVED & REPLACED, ROCKER COVER GASKETS"
100105,"A/C, A/C","STARTED, RAN"
100106,ROCKER COVER GASKET,REMOVED & REPLACED
100107,ROCKER COVER GASKETS,REMOVED & REPLACED
100108,CLAMPS,TIGHTENED
100109,GASKET,REMOVED & REPLACED
100110,BAFFLE SEALS,RESECURED
100111,,"INSTALLED, REPAIRED"
100112,BAFFLE & SWAPPED,REMOVED
100113,INTAKE GASKET,REMOVED & REPLACED
100114,,REMOVED & REPLACED
100115,ROCKER COVER GASKET,REMOVED & REPLACED
100116,"ROCKER COVER & STAKED, INTAKE VALVE",REMOVED
100117,GASKET,REPLACED
100118,BAFFLE SEAL,SECURED
100119,GASKETS,REMOVED & REPLACED
100120,PATCH,STOP DRILLED & FABRICATED
100121,INTAKE GASKET,REPLACED
100122,,REMOVED & REPLACED
100123,ROCKER GASKET,REMOVED & REPLACED
100124,INTAKE GASKET,INSTALLED
100125,SCREW,INSTALLED
100126,BAFFLE SEAL,RESECURED
100127,PATCH,
100128,GASKET,REMOVED & REPLACED
100129,GASKETS,REMOVED & REPLACED
100130,"ENGINE BRIEFLY & NOTED, THAT",RAN
100131,EXHAUST VALVE,FREED
100132,ROCKER COVER GASKETS,REMOVED & REPLACED
100133,ROCKER COVER GASKETS,REMOVED & REPLACED
100134,BAFFLE,REMOVE
100135,,REMOVED & REPLACED
100136,OPS & LEAK,CHECK
100137,ENGINE,INSTALLATION
100138,"ENGINE, MOUNT, TORQUED",REMOVED
100139,GASKETS,REPLACED
100140,GASKET,REMOVED & REPLACED
100141,COVERS,REPLACED
100142,INTAKE GASKETS,REPLACED
100143,BRACE,REMOVED
100144,SCREWS,RETORQUED
100145,ROCKER BOX COVER GASKET,INSTALLED
100146,ROCKER BOX COVER GASKET,INSTALLED
100147,BRAKE LININGS,REPLACED
100148,ROCKER COVER,REMOVED & REPLACED
100149,,CHECK
100150,VALVE,INSP
100151,ENG,INSP
100152,VALVE,INSP
100153,GASKET,REPLACED
100154,ENGINE,RUN UP
100155,SCREWS,RETORQUED
100156,BUTTON PLUG,INSTALLED
100157,A/C,RAN
100158,ROCKER COVERS,REMOVED & REPLACED
100159,BAFFLE SEAL,RESECURED
100160,,REMOVED & REPLACED
100161,,
100162,"SCREWS, COVERS",TIGHTENED
100163,OPS & LEAK,CHECKED
100164,OPS & LEAK,CHECKED
100165,,INSTALLED
100166,WIRING,
100167,NACELLE WIRING,REINSTALL
100168,INSTALLATION,CONTINUED
100169,CYLINDERS,PRESERVED
100170,HARNESS @ FIREWALL,"SEALED, CONTROL"
100171,MAGNETOS,INSTALLED & TIMED
100172,,UNPACKED
100173,WIRING,RAN
100174,WIRING,ROUTED & SECURED
100175,HARNESS @ FIREWALL,"SEALED, CONTROL"
100176,,CLEANED
100177,MOUNT ASSY,REMOVED
100178,OIL SUMP & ACCESSORY CASE,REMOVED
100179,WIRING & CABLE,INSTALLATION & CONTROL
100180,,CONTINUED
100181,,
100182,"ENGINE, INDICATION",CLEANED
100183,MOUNT ASSY,REMOVED
100184,ENGINE,REMOVED
100185,REPAIR,INSTALLED
100186,,REPAIRED
100187,INTAKE GASKETS,REMOVED & REPLACED
100188,INTAKE GASKET,REMOVED & REPLACED
100189,ROCKER COVER GASKET,REMOVED & REPLACED
100190,BAFFLE SCREW,TIGHTENED
100191,,
100192,HOSE CLAMPS,TIGHTENED
100193,SEAL,REMOVED & REPLACED
100194,SEALANT,PREPPED
