id,part,action,cylinders,details,engine
100001,,,,,
100002,FUEL SERVO,REPLACED,,,
100003,,,,,
100004,,FOUND,[2],,
100005,,REPLACED,,,
100006,,TIGHTENED,,,
100007,,TIGHTENED,,,
100008,,REPLACED,,,
100009,INTAKE GASKET,REPLACED,[2],,
100010,ROCKER COVER GASKET,REPLACED,[4],,
100011,,,,,
100012,,STOP DRILLED,,,
100013,,TIGHTENED,,,
100014,ROCKER BOX COVER GASKETS,INSTALLED,,,
100015,ROCKER COVER GASKET,REPLACED,[2],,
100016,ROCKER COVER GASKET,REPLACED,"[1, 3]",,
100017,,TIGHTENED,,,
100018,,FABRICATED,,,
100019,,REPLACED,,,
100020,ROCKER COVER,REPLACED,,,
100021,GASKET,REPLACED,,LEAK CHECK GOOD,
100022,ROCKER COVER GASKETS,REMOVED,,CLEANED LEAKS,
100023,,TIGHTENED,,,
100024,,TIGHTENED,,,
100025,INTAKE TUBE,REMOVED,,FOUND TUBE TO BE CRACKED,
100026,,TIGHTENED,,,
100027,AFT BAFFLE,REMOVED,,TO FACILITATE REPAIR,R
100028,,INSPECTED,"[1, 2, 4]",IAW - CK'ED OK,
100029,,PERFORMED,[3],"COMPRESSION CHECK, INDICATED ZERO PSI",
100030,,COMPLETED,,"BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS",
100031,GASKET,REPLACED,,,
100032,AIR BAFFLE,REMOVED & REPLACED,[4],,
100033,,SECURED,,,
100034,BAFFLE ASSY,REPLACED,,,
100035,ROCKER GASKETS,REMOVED & REPLACED,all,,
100036,ROCKER COVER GASKETS,REPLACED,all,,
100037,TUBE,REMOVED,,FOUND TO BE CRACKED,
100038,,RAN,,"A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD",
100039,,REMOVED,[3],DISCONNECTED FUEL DISTRIBUTOR LINE TO G,
100040,,REASSEMBLED,,"ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK",
100041,INTAKE GASKET,REPLACED,[4],,
100042,ROCKER COVER GASKET,REPLACED,[3],,
100043,,STOP DRILLED,,,
100044,DIPSTICK,REPLACED,,,
100045,,REPLACED,,SCREW,
100046,,APPLIED,,SILICONE TO TORN AREAS,
100047,ROCKER COVER GASKETS,REPLACED,"[2, 4]",,
100048,,REPLACED,,MISSING RIVETS W/ SCREWS & NUTS,
100049,,REPLACED,,GASKET,
100050,,REPLACED,,MOUNTS,
100051,,REPLACED,,GASKET,
100052,,REPLACED,,GASKETS,
100053,,REPLACED,,GASKET & INSPECTED INTAKE TUBE,
100054,,ADJUSTED,,"IDLE SETTING, IDLE INDICATING 650 RPM DURING R",
100055,,REPLACED,,PLUG,
100056,,REPLACED,,GASKET,
100057,,SECURED,,SEALS,
100058,,SECURED,,BAFFLE SEAL,
100059,ROCKER COVER GASKET,REPLACED,[3],,
100060,ROCKER COVER GASKET,REPLACED,[4],,
100061,ROCKER COVER,REMOVED,,NEW,
100062,ENGINE OIL PRESS RELIEF VALVE,ADJUSTED,,,
100063,,CHECKED,,OK,
100064,,STARTED,,,
100065,ADEL CLAMP,MOVED,,,
100066,,ADJUSTED,,LOWERING,
100067,,CLEANED,,,
100068,GASKET,REPLACED,,,
100069,,STOP DRILLED,,,
100070,,STOP DRILLED,,,
100071,,RAN,,CHECKS GOOD,
100072,,FABRICATED,,INSTALLED,
100073,GASKET,REMOVED,,,
100074,ROCKER COVER GASKET,REMOVED,,,
100075,,INSTALLED,,NEW PLUG,
100076,,RAN,,LEAK CHECK GOOD,
100077,,CONFIRMED,,DISCREPANCY,
100078,,COMPLETED,,INSTALLED NEW INTA,
100079,,REMOVED,,INSTALLED SERVICEABLE CYL ASSY. TORQUED,
100080,,DISASSEMBLED,,,
100081,GASKET,REPLACED,,,
100082,GASKET,REPLACED,,,
100083,GASKET,REPLACED,,,
100084,GASKETS,REPLACED,,,
100085,,STARTED,,LEANED MIXTURE TO CLEAN SPARK PLUGS,
100086,INTAKE GASKET,REMOVED & REPLACED,[2],,
100087,,INSTALLED,,SCREW & NUT TO ATTACH R/H,
100088,,TIGHTENED,,SCREWS,
100089,INDUCTION TUBE GASKET,REMOVED & REPLACED,[2],,
100090,GASKETS,REMOVED & REPLACED,,,
100091,INTAKE GASKET,REMOVED & REPLACED,[1],W/ NEW,
100092,ROCKER COVER GASKETS,REMOVED & REPLACED,"[3, 4]",W/ NEW,
100093,ROCKER COVER GASKET,REMOVED & REPLACED,,,
100094,INTAKE GASKET,REMOVED & REPLACED,[4],W/ NEW,
100095,,TIGHTENED,,SCREWS,
100096,ROCKER COVER GASKET,REMOVED & REPLACED,[4],,
100097,,TIGHTENED,,HOSE CLAMP,
100098,,FINISHED,,REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,
100099,,REAMED,,#3 EXH,
100100,GASKET,REMOVED & REPLACED,,,
100101,,REMOVED,,COWLING,
100102,,INSTALLED,,NEW BOLT,
100103,ROCKER COVER GASKETS,REPLACED,"[1, 4]",,R
100104,ENGINE ROCKER COVER GASKETS,REPLACED,[1],,L
100105,,STARTED,,,
100106,ROCKER COVER GASKET,REPLACED,[3],,
100107,ROCKER COVER GASKETS,REPLACED,"[2, 4]",,
100108,,TIGHTENED,,CLAMPS,
100109,,REPLACED,,GASKET,
100110,,RESECURED,,BAFFLE SEALS,
100111,,INSTALLED,,REPAIRED BAFFLING,
100112,,REMOVED,,BAFFLE,
