id,engine,part,problem,cylinders,details
100011,,,,,
100012,L,ENGINE BAFFLE,CRACKED,,
100013,,HOSE CLAMPS,LOOSE,"[1, 2, 3, 4]",
100014,,ROCKER BOX COVER GASKETS,LEAKING,"[1, 2, 3]",
100015,,ROCKER COVER GASKET,LEAKING,[2],
100016,,ROCKER COVER GASKET,LEAKING,"[1, 3]",
100017,,ROCKER BOX COVER SCREWS,LOOSE,,
100018,,ENGINE BAFFLE,CRACKED,[1],
100019,,INTAKE GASKET,LEAKING,[1],
100020,,ROCKER COVER,LEAKING,[1],
100031,,ROCKER COVER GASKET,LEAKING,,
100032,R,AIR BAFFLE,CRACKED,[4],
100033,R,ALT ATTACH BOLT,LOOSE,,
100034,L,BAFFLE,CRACKED,[4],
100035,R,VALVE COVERS,LEAKING,"[1, 2, 3, 4]",
100036,L,ROCKER COVER GASKETS,LEAKING,"[1, 2, 3, 4]",
100037,L,INTAKE,LEAKING,[2],
100038,R,,ROUGH,,MAG INOP
100039,R,,ROUGH,,MAG INOP
100040,R,,ROUGH,,MAG INOP
100051,,INTAKE,LEAKING,[4],
100052,,ROCKER COVERS,LEAKING,"[2, 4]",
100053,,INTAKE,LEAKING,[4],
100054,,,,,DURING IDLE CHECK ON RUN UP
100055,L,BAFFLE PLUG,WORN,,
100056,,ROCKER COVER,LEAKING,[1],
100057,L,BAFFLE SEALS,LOOSE,"[2, 4]",
100058,R,BAFFLE SEAL,LOOSE,[3],
100059,,ROCKER COVER GASKET,TORN,[3],
100060,,ROCKER COVER GASKET,TORN,[4],
100071,,,,,
100072,,BAFFLE BRACE,BROKEN,"[2, 4]",
100073,,INTAKE GASKET,LEAKING,[4],
100074,,ROCKER BOX COVER GASKET,LEAKING,[4],
100075,,BAFFLE PLUG HOLE,WORN,,
100076,,,ROUGH,,RUNNING VIBRATING A LOT
100077,,,ROUGH,,RUNNING VIBRATING A LOT
100078,,,ROUGH,,RUNNING VIBRATING A LOT
100079,,,ROUGH,,RUNNING VIBRATING A LOT
100080,,,ROUGH,,RUNNING VIBRATING A LOT
100091,,INTAKE,LEAKING,,
100092,,ROCKER COVERS,LEAKING,"[3, 4]",
100093,,ROCKER COVER,LEAKING,[1],
100094,L,INTAKE GASKET,LEAKING,[4],
100095,,ROCKER BOX COVER SCREWS,LOOSE,,
100096,,ROCKER COVER,LEAKING,[4],
100097,,OIL RETURN LINE HOSE CLAMP,LOOSE,,
100098,,,ROUGH,,
100099,,,ROUGH,,
100100,,ROCKER COVER,LEAKING,[3],
100111,L,AFT BAFFLE,CRACK,[4],IN MULTIPLE PLACES
100112,L,AFT BAFFLE,CRACK,[4],IN MULTIPLE PLACES
100113,,,LEAKING,[2],
100114,,,GOUGE,[1],LARGE
100115,L,ROCKER COVER,LEAKING,[3],
100116,,,COMPRESSION,[2],LOW
100117,,ROCKER COVER,LEAKING,[4],
100118,L,FWD RUBBER SEAL,LOOSE,,
100119,,ROCKER COVER GASKETS,LEAKING,"[1, 3]",
100120,R,BAFFLE,CRACK,,FRONT SIDE
100131,,,RUNNING,,ROUGH
100132,,INTAKES,LEAKING,"[1, 3]",
100133,,ROCKER COVER,LEAKING,"[2, 4]",
100134,R,BAFFLE MOUNT,SHEARED,,
100135,,CHT NEEDLE,BOUNCES,,
100136,,ENGINE MOUNT,WEAR,,NOTED
100137,,ENGINE MOUNT,WEAR,,NOTED
100138,,ENGINE MOUNT,WEAR,,NOTED
100139,L,INTAKES,LEAKING,"[2, 3, 4]",
100140,L,ROCKER COVER,LEAKING,[3],
100151,,,OVERSPEED,,UP TO 3400 RPM @ TERMINATION OF AN AUTO
100152,,,OVERSPEED,,UP TO 3400 RPM @ TERMINATION OF AN AUTO
100153,,ROCKER COVER GASKET,LEAKING,[2],
100154,,,COMPRESSION,[2],LOW
100155,,ROCKER BOX COVER SCREWS,LOOSE,[2],
100156,,BAFFLE BUTTON PLUG,BAD,[3],
100157,R,,ROUGH,,IN FLIGHT
100158,,ROCKER COVERS,LEAKING,"[1, 3]",
100159,R,BAFFLE SEAL,LOOSE,,FWD
100160,,,QUIT,,WHILE TAXIING
100171,L,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100172,L,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100173,L,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100174,L,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100175,L,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100176,L,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100177,L,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100178,L,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100179,R,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100180,R,,NEED,,TO BE REMOVED TO FACILITATE REPAIR
100191,R,ENGINE BAFFLE,CRACK,[],
100192,,HOSE CLAMPS,LOOSE,"[1, 2, 3, 4]",
100193,,EXHAUST SEAL,LEAKING,[3],
100194,,BAFFLE,LOOSE,"[1, 3]",
100195,,ENGINE BAFFLE,WORN,[],
100196,,ROCKER COVER,MISSING,[3],SCREW
100197,,INTAKES,LEAKING,"[2, 4]",
100198,,ROCKER COVER GASKET,LEAKING,[2],
100199,,,ROUGH,[],ENGINE RUNS AFTER START. ENGINE SHUT DOWN WHEN POWER T
100200,,,ROUGH,[],ENGINE RUNS AFTER START. ENGINE SHUT DOWN WHEN POWER T
100211,R,BAFFLE,SHEARED,[3],OFF
100212,,ROCKER COVER,LEAKING,[3],
100213,,ROCKER COVER GASKETS,LEAKING,"[2, 4]",
100214,R,INTAKE,LEAKING,[2],
100215,L,ROCKER COVER GASKET,LEAKING,[4],
100216,R,ROCKER COVER GASKETS,SEEPING,"[1, 2, 3, 4]",
100217,R,BAFFLE,MISSING,,SCREW
100218,,ROCKER BOX COVER SCREWS,LOOSE,,(ALL CYLS)
100219,,INDUCTION TUBE HOSE CLAMPS,LOOSE,,(ALL CYLS)
100220,,INTAKE,LEAKING,[2],
100231,,,COMPRESSION,[4],
100232,,,COMPRESSION,[4],
100233,,BAFFLE,MISSING,[3],
100234,,ROCKER COVER,LEAKING,[2],
100235,,,LOOSE,,
100236,R,INTAKE,LEAKING,[3],
100237,L,INDUCTION TUBE GASKET,LEAKING,[4],
100238,L,BAFFLE SEAL,LOOSE,[1],
100239,L,ROCKER BOX COVERS,LEAKING,"[1, 2, 3]",
100240,R,INTAKE TUBE GASKET,LEAKING,[2],
100251,,,LEAK,[2],
100252,,BRACKET,BROKEN,[2],
100255,,ROCKER COVER GASKET,LEAKING,[2],
100256,,ROCKER COVERS,LEAKING,"[2, 4]",
100258,,ROCKER COVER GASKETS,LEAKING,"[1, 3, 4]",
100259,,CYLINDER ROCKER COVER GASKETS,LEAKING,"[2, 4]",
100260,,ROCKER BOX COVER SCREWS,LOOSE,"[1, 2, 3]",
100271,,ROCKER COVER,LEAKING,[4],
100272,R,BAFFLE,MISSING,,
100273,,ROCKER COVERS,LEAKING,"[2, 4]",
100274,,RING GEAR,DAMAGED,,
100275,,OIL RETURN LINE,CHAFING,[3],
100276,,OIL RETURN LINE,CHAFING,[3],
100277,R,BAFFLE,CRACKED,,
100278,R,BAFFLE,CRACKED,,
100279,,ROCKER COVER,LEAKING,[1],
100280,R,BAFFLE,CRACKED,[3],
100291,,ROCKER COVERS,LOOSE,,ALL
100292,R,INTAKE,LEAKING,[3],
100293,R,ROCKER COVER,MISSING,[4],
100294,,GASKET,LEAKING,[4],
100295,R,ROCKER COVER,LEAKING,[2],
100296,,ROCKER BOX COVER SCREWS,LOOSE,"[1, 3]",
100297,,INDUCTION TUBE GASKETS,LEAKING,"[2, 4]",
100298,,SCREWS FOR ROCKER COVERS,LOOSE,,ALL
100299,,INTAKES,LEAKING,"[1, 4]",
100300,,INDUCTION TUBE HOSE CLAMPS,LOOSE,"[1, 2, 3, 4]",
100311,,BAFFLE PLUGS,WORN,,
100312,,ROCKER,LEAKING,[1],
100313,R,BAFFLE,MISSING,,SCREW
100314,,OIL PSI SWITCH WIRING GROMMET,MISSING,,
100315,,INTAKE,LEAKING,[4],
100316,,ROCKER COVER,LEAKING,[2],
100317,,ROCKER COVERS,LEAKING,"[2, 3]",
100318,L,BAFFLE,CRACKED,[1],BACK TOP
100319,L,ENGINE BAFFLE,CRACKED,,FWD
100320,L,SPARK PLUG,NEED,,TO BE REPLACED
100331,,SPARK PLUG BAFFLE,WORN,,
100332,,,LEAKING,[2],
100333,,ROCKER COVER GASKET,LEAKING,[3],
100334,,ROCKER COVER GASKET,LEAKING,[2],
100335,L,,LEAKING,[2],INTAKE
100336,R,INTAKE GASKET,LEAKING,[4],
100337,R,BAFFLE SEAL,TORN,[1],
100338,R,BAFFLE SEAL,OUT OF PLACE,[3],
100339,L,BAFFLE,CRACKED,,
100340,L,DEFLECTOR BAFFLE,CRACKED,,
100351,L,ROCKER BOX COVER SCREWS,LOOSE,[],
100352,R,ROCKER BOX COVER SCREWS,LOOSE,[],
100353,R,INTAKE GASKET,LEAKS,[2],
100354,,INDUCTION TUBE GASKET,LEAKING,[4],
100355,,ROCKER BOX COVER GASKETS,LEAKING,"[2, 4]",
100356,,INTAKE GASKET,LEAKING,[1],
100357,,ROCKER COVER,LEAKING,[4],
100358,,,LEAKING,[1],
100359,,ENGINE BAFFLE PLUG,MISSING,,
100360,,ROCKER COVER GASKET,LEAKING,[1],
100371,,BAFFLE,CRACK,[1],AT SCREW SUPPORT & FWD BAFFLE BELOW
100372,R,BAFFLE SEAL,LOOSE,,(FWD UPPER)
100373,,BAFFLE SEAL,HOLE,,
100374,,FRONT BAFFLE,RUBBING,,ON MUFFLER
100375,,INTAKE,LEAKING,[2],
100376,,CYLINDER,STICKING,[3],HAS VALVE
100377,,CYLINDER,STICKING,[3],HAS VALVE
100378,,INTAKE GASKET,LEAKING,[4],
100379,,INTAKE,LEAKING,[2],
