id,part,problem,rest,cylinders,engine
100001,,,,,
100002,,,,,
100003,,,,,
100004,,,,,
100005,ROCKER COVER GASKET,LEAKING,,4 2,
100006,ROCKER BOX COVER SCREW,LOOSE,(ALL CYL),,
100007,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),,
100008,INTAKE,LEAKING,,3,
100009,INTAKE,LEAKING,,2,
100010,ROCKER COVER,LEAKING,,4,
100011,,,,,
100012,BAFFLE,CRACKED,,,L/H REAR
100013,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),,
100014,ROCKER BOX COVER GASKET,LEAKING,,3 2 1,
100015,ROCKER COVER GASKET,LEAKING,,2,
100016,ROCKER COVER GASKET,LEAKING,,3 1,
100017,ROCKER BOX COVER SCREW,LOOSE,,,
100018,ENGINE BAFFLE,CRACKED,,1,
100019,INTAKE GASKET,LEAKING,,1,
100020,,LEAKING,,1,
100021,INTAKE,LEAKING,,4,
100022,ROCKER COVER GASKET,LEAKING,,4 2,
100023,ROCKER BOX COVER SCREW,LOOSE,,,
100024,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),,
100025,INTAKE GASKET,LEAKING,,1,
100026,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),,
100027,,,,,
100028,,,,,
100029,,,,,
100030,,,,,
100031,ROCKER COVER GASKET,LEAKING,,4,
100032,,,,,
100033,FWD ALT ATTACH BOLT,LOOSE,,,R/H
100034,AFT BAFFLE,CRACKED,IN MULTIPLE PLACES,4,L/H
100035,,,,,
100036,ROCKER COVER GASKET,LEAKING,,4 3 2 1,L/H
100037,INTAKE,LEAKING,,2,L/H
100038,,,,,
100039,,,,,
100040,,,,,
100041,INTAKE,LEAKING,,4,
100042,ROCKER COVER GASKET,LEAKING,,3,
100043,,,,,
100044,OIL DIPSTICK OIL,STICK,IS LOOSE,,
100045,,MISSING,SCREW,3,
100046,,,,,
100047,ROCKER COVER,LEAKING,,4 2,
100048,AFT BAFFLE BRACKET,LOOSE,,3,
100049,ROCKER COVER,LEAKING,,4,
100050,,,,,
100051,INTAKE,LEAKING,,4,
100052,ROCKER COVER,LEAKING,,4 2,
100053,INTAKE,LEAKING,,4,
100054,,,,,
100055,BAFFLE PLUG,WORN,,,L/H
100056,ROCKER COVER,LEAKING,,1,
100057,SIDE BAFFLE SEAL,LOOSE,,4 2,L/H
100058,AFT BAFFLE SEAL,LOOSE,,3,R/H
100059,ROCKER COVER GASKET,TORN,,3,
100060,ROCKER COVER GASKET,TORN,,4,
100061,ROCKER COVER GASKET,LEAKING,,1,
100062,,,,,
100063,,,,,
100064,,,,,
100065,,,,,
100066,,,,,
100067,,,,,
100068,INTAKE,LEAKS,,2,R/H
100069,BAFFLE,CRACKED,,4,L/H
100070,BAFFLE,CRACKED,,4,R/H
100071,,,,,
100072,,BROKEN,,4 2,
100073,INTAKE GASKET,LEAKING,,4,
100074,ROCKER BOX COVER GASKET,LEAKING,,4,
100075,,WORN,,,
100076,,,,,
100077,,,,,
100078,,,,,
100079,,,,,
100080,,,,,
100081,INTAKE,LEAKS,,2,
100082,INTAKE,LEAKS,,4,
100083,INTAKE TUBE GASKET,LEAKING,,3,
100084,ROCKER COVER GASKET,LEAKING,,4 3,
100085,,,,,
100086,INTAKE,LEAKING,,2,
100087,,,,,
100088,ROCKER BOX COVER SCREW,LOOSE,,,
100089,INDUCTION TUBE GASKET,LEAKING,,2,
100090,ROCKER COVER,LEAKING,,4 2,
100091,INTAKE,LEAKING,,1,
100092,ROCKER COVER,LEAKING,,4 3,
100093,ROCKER COVER,LEAKING,,1,
100094,INTAKE GASKET,LEAKING,,4,L/H
100095,ROCKER BOX COVER SCREW,LOOSE,,,
100096,ROCKER COVER,LEAKING,,4,
100097,OIL RETURN LINE HOSE CLAMP,LOOSE,,2,
100098,,,,,
100099,,,,,
100100,ROCKER COVER,LEAKING,,3,
100101,,,,,
100102,BAFFLE BOLT,MISSING,,4,R/H
100103,ROCKER COVER,LEAKING,,4 1,R/H
100104,ROCKER COVER,LEAKING,,3 1,L/H
100105,,,,,
100106,ROCKER COVER GASKET,LEAKING,,3,
100107,ROCKER COVER GASKET,LEAKING,,4 2,
100108,OIL RETURN LINE CLAMP,LOOSE,,4 2,
100109,INTAKE GASKET,LEAKING,,2,R/H
100110,,LOOSE,,,
100111,AFT BAFFLE,CRACKED,IN MULTIPLE PLACES,4,L/H
100112,AFT BAFFLE,CRACKED,IN MULTIPLE PLACES,4,L/H
100113,INTAKE,LEAKING,,2,
100114,,,,,
100115,ROCKER COVER,LEAKING,,3,L/H
100116,,COMPRESSION,LOW COMPRESSION,2,
100117,ROCKER COVER,LEAKING,,4,
100118,SIDE OF ENG FWD RUBBER SEAL,LOOSE,,,L/H
100119,ROCKER COVER GASKET,LEAKING,,3 1,
100120,,,,,
100121,INTAKE,LEAKING,,4,
100122,INTAKE,LEAKING,,2,
100123,ROCKER COVER,LEAKING,,4,
100124,INTAKE GASKET,LEAKING,,4,R/H
100125,SCREW,MISSING,BAFFLE,3,
100126,FRONT BAFFLE SEAL,LOOSE,,,R/H
100127,,,,,
100128,INTAKE GASKET,LEAKING,,2,
100129,ROCKER COVER GASKET,LEAKING,,3 2,
100130,,,,,
100131,,,,,
100132,INTAKE,LEAKING,,3 1,
100133,ROCKER COVER,LEAKING,,4 2,
100134,BAFFLE MOUNT RIVET,SHEARED,,,R/H AFT
100135,,NEED,LE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY,,
100136,,,,,
100137,,,,,
100138,,,,,
100139,INTAKE,LEAKING,,4 3 2,L/H
100140,ROCKER COVER,LEAKING,,3,L/H
100141,ROCKER COVER,LEAKING,,4 2,R/H
100142,INTAKE TUBE,LEAKING,,4 3,R/H
100143,LEFT AFT BAFFLE ANGLE BRACKET,CRACKED,,,L/H
100144,ROCKER BOX COVER SCREW,LOOSE,,,
100145,ROCKER BOX COVER GASKET,LEAKING,,2,
100146,ROCKER COVER GASKET,LEAKING,,4,
100147,,WORN,OUT,,
100148,,,,,
100149,,,,,
100150,,,,,
100151,,,,,
100152,,,,,
100153,ROCKER COVER GASKET,LEAKING,,2,
100154,,COMPRESSION,LOW COMPRESSION,2,
100155,ROCKER BOX COVER SCREW,LOOSE,,2,
100156,BAFFLE BUTTON PLUG,BAD,,3,
100157,,,,,
100158,ROCKER COVER,LEAKING,,3 1,
100159,FWD BAFFLE SEAL,LOOSE,,,R/H
100160,,,,,
100161,,,,,
100162,,,,,
100163,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100164,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100165,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100166,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100167,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100168,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100169,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100170,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100171,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100172,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100173,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100174,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100175,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100176,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100177,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100178,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L/H
100179,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100180,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100181,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100182,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100183,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R/H
100184,,,,,
100185,,,,,
100186,,,,,
100187,INTAKE GASKET,LEAKING,,4 2,
100188,INTAKE,LEAKING,,2,
100189,ROCKER COVER,LEAKING,,3,
100190,AFT BAFFLE SCREW,LOOSE,,,
100191,REAR ENGINE BAFFLE,CRACKED,,4,
100192,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),,
100193,EXHAUST SEAL,LEAKING,,3,
100194,,,,,
100195,,WORN,,,
100196,,,,,
