id,engine,cylinders,part,problem,details
100001,,[],ENGINE IDLE OVERRIDE,KILLED,
100002,,[],ENGINE IDLE OVERRIDE,KILLED,
100003,,[],ENGINE IDLE OVERRIDE,KILLED,
100004,R,[],ENGINE CHOKE,LOSE,BRIEFLY LOSE POWER ON DEPARTURE. FULL THR
100005,,"[2, 4]",ROCKER COVER GASKETS,LEAKING,
100006,,[],ROCKER BOX COVER SCREWS,LOOSE,(ALL CYL)
100007,,[],INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYL)
100008,,[3],INTAKE,LEAKING,
100009,,[2],INTAKE,LEAKING,
100010,,[4],ROCKER COVER,LEAKING,
100021,,[4],INTAKE,LEAKING,
100022,,"[2, 4]",ROCKER COVER GASKETS,LEAKING,
100023,,,ROCKER BOX COVER SCREWS,LOOSE,
100024,,,INDUCTION TUBE HOSE CLAMPS,LOOSE,
100025,,[1],INTAKE GASKET,LEAKING,
100026,,,INDUCTION TUBE HOSE CLAMPS,LOOSE,
100027,R,,BLAST TUBE,FELL_OFF,
100028,,,ENGINE,ROUGH,BEGAN TO RUN
100029,,,ENGINE,ROUGH,BEGAN TO RUN
100030,,,ENGINE,ROUGH,BEGAN TO RUN
100041,,[4],INTAKE,LEAKING,
100042,,[3],ROCKER COVER GASKET,LEAKING,
100043,L,[1],BAFFLE,CRACK,HAS A
100044,,,OIL DIPSTICK,LOOSE,OIL STICK IS
100045,,[3],BRAKE,MISSING,SCREW
100046,R,,BAFFLE SEALS,TORN,ON R/H SIDE ARE
100047,,"[2, 4]",ROCKER COVERS,LEAKING,
100048,,[3],AFT BAFFLE BRACKET,LOOSE,
100049,,[4],ROCKER COVER,LEAKING,
100050,,"[1, 2, 6]",COWL MOUNTS,TORN,
100061,,,ROCKER COVER GASKET,LEAKING,
100062,ENGINE,,,HIGH OIL PRESS,
100063,ENGINE,,,HIGH OIL PRESS,
100064,,,,,COULDN'T START
100065,,,VACUUM TUBE & OIL COOLER LINE,RUBBING,
100066,,,,,IDLE @ 970 RPM
100067,,,,FUEL PRESS,
100068,R,[2],INTAKE,LEAKS,
100069,L,[4],BAFFLE,CRACKED,
100070,R,[4],BAFFLE,CRACKED,
100081,,[2],INTAKE,LEAKS,
100082,,[4],INTAKE,LEAKS,
100083,,[3],INTAKE TUBE GASKET,LEAKING,
100084,,"[3, 4]",ROCKER COVER GASKETS,LEAKING,
100085,,,,START,WOULD NOT
100086,,[2],INTAKE,LEAKING,
100087,R,,BAFFLE,PULLED,RIVET PULLED THROUGH
100088,,,ROCKER BOX COVER SCREWS,LOOSE,
100089,,[2],INDUCTION TUBE GASKET,LEAKING,
100090,,"[2, 4]",ROCKER COVERS,LEAKING,
100101,R,,FUSELAGE,LEAK,ENTIRE RIGHT SIDE
100102,R,[4],ENGINE BAFFLE,MISSING,BOLT
100103,R,"[1, 4]",ROCKER COVERS,LEAKING,
100104,L,"[1, 3]",ROCKER COVERS,LEAKING,
100105,,,,DIED,DURING MAG CK
100106,,[3],ROCKER COVER,LEAKING,GASKET
100107,,"[2, 4]",ROCKER COVER,LEAKING,GASKET
100108,,"[2, 4]",OIL RETURN LINE,LOOSE,CLAMPS
100109,R,[2],INTAKE GASKET,LEAKING,
100110,,,BAFFLE SEALS,LOOSE,UNDER BOTH PROP GOVERNORS
100121,,[4],INTAKE,LEAKING,
100122,,[2],INTAKE,LEAKING,
100123,,[4],ROCKER COVER,LEAKING,
100124,R,[4],INTAKE GASKET,LEAKING,
100125,,[3],BAFFLE,MISSING,SCREW IS MISSING
100126,R,,FRONT BAFFLE SEAL,LOOSE,
100127,L,,BAFFLE,CRACKED,TOP BACK L/H CORNER
100128,,[2],INTAKE GASKET,LEAKING,
100129,,"[2, 3]",ROCKER COVER GASKET,LEAKING,
100130,,,,RUNNING,
100141,R,"[2, 4]",ROCKER COVERS,LEAKING,ARE
