id,part,problem,details,cylinders,engine
100001,ENGINE,KILLED,IDLE OVERRIDE,,
100002,ENGINE,KILLED,IDLE OVERRIDE,,
100003,ENGINE,KILLED,IDLE OVERRIDE,,
100004,ENGINE,LOSE,CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,,
100005,ROCKER COVER GASKETS,LEAKING,,"[2, 4]",
100006,ROCKER BOX COVER SCREWS,LOOSE,(ALL CYL),,
100007,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYL),,
100008,INTAKE,LEAKING,,[3],
100009,INTAKE,LEAKING,,[2],
100010,ROCKER COVER,LEAKING,,[4],
100021,INTAKE,LEAKING,,[4],
100022,ROCKER COVER GASKETS,LEAKING,,"[2, 4]",
100023,ROCKER BOX COVER SCREWS,LOOSE,,,
100024,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYL),,
100025,INTAKE GASKET,LEAKING,,[1],
100026,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYLS),,
100027,MAG BLAST TUBE,FELL OFF,,,R
100028,ENGINE,RUN,ROUGH. RAN ENGINE @ 1200 RP,,
100029,ENGINE,RUN,ROUGH. RAN ENGINE @ 1200 RP,,
100030,ENGINE,RUN,ROUGH. RAN ENGINE @ 1200 RP,,
100041,INTAKE,LEAKING,,[4],
100042,ROCKER COVER GASKET,LEAKING,,[3],
100043,BAFFLE,CRACK,,,L
100044,OIL DIPSTICK,LOOSE,,,
100045,BRAKE,MISSING,SCREW,[3],
100046,BAFFLE SEALS,TORN,,,R
100047,ROCKER COVERS,LEAKING,,"[2, 4]",
100048,AFT BAFFLE BRACKET,LOOSE,,[3],
100049,ROCKER COVER,LEAKING,,[4],
100050,COWL MOUNTS,TORN,,"[1, 2, 6]",
100061,ROCKER COVER GASKET,LEAKING,,,
100062,OIL PRESS,HIGH,DURING GROUND RUN PILOT NOTICED,,
100063,OIL PRESS,HIGH,DURING GROUND RUN PILOT NOTICED,,
100064,,,STUDENT COULDN'T START A/C,,
100065,VACUUM TUBE & OIL COOLER LINE,RUBBING,TOGETHER,,
100066,,,"AFTER LANDING, A/C IDLE @ 970 RPM",,
100067,FUEL PRESS,JUMPS,32 - 33 W/ INTO RED,,
100068,INTAKE,LEAKS,,[2],R
100069,CYL BAFFLE,CRACKED,,[4],L
100070,CYL BAFFLE,CRACKED,,[4],R
100081,INTAKE,LEAKS,,[2],
100082,INTAKE,LEAKS,,[4],
100083,INTAKE TUBE GASKET,LEAKING,,[3],
100084,ROCKER COVER GASKETS,LEAKING,,"[3, 4]",
100085,ENGINE,NOT,WOULD NOT START,,
100086,INTAKE,LEAKING,,[2],
100087,BAFFLE SEAL RIVET,PULLED,TOP FRONT R/H BAFFLE,,R
100088,ROCKER BOX COVER SCREWS,LOOSE,,,
100089,INDUCTION TUBE GASKET,LEAKING,,[2],
100090,ROCKER COVERS,LEAKING,,"[2, 4]",
100101,,,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE,,
100102,BAFFLE BOLT,MISSING,,[4],R
100103,ROCKER COVERS,LEAKING,,"[1, 4]",R
100104,ROCKER COVERS,LEAKING,,"[1, 3]",L
100105,ENGINE,DIED,DURING MAG CK,,
100106,ROCKER COVER GASKET,LEAKING,,[3],
100107,ROCKER COVER GASKET,LEAKING,,"[2, 4]",
100108,OIL RETURN LINE CLAMPS,LOOSE,,"[2, 4]",
100109,INTAKE GASKET,LEAKING,,[2],R
100110,BAFFLE SEALS,LOOSE,UNDER BOTH PROP GOVERNORS,,
100121,INTAKE,LEAKING,,[4],
100122,INTAKE,LEAKING,,[2],
100123,ROCKER COVER,LEAKING,,[4],
100124,INTAKE GASKET,LEAKING,,[4],R
100125,SCREW,MISSING,ON #3 CYL BAFFLE,[3],
100126,FRONT BAFFLE SEAL,LOOSE,,,R
100127,BAFFLE,CRACKED,TOP BACK L/H CORNER,,L
100128,INTAKE GASKET,LEAKING,,[2],
100129,ROCKER COVER GASKETS,LEAKING,,"[2, 3]",
100130,ENGINE,RUNNING,ROUGH SHORTLY AFTER TAKEOFF & LANDED,,
100141,ROCKER COVERS,LEAKING,,"[2, 4]",R
100142,INTAKE TUBES,LEAKING,,"[3, 4]",R
100143,BAFFLE ANGLE BRACKET,CRACKED,,,L
100144,ROCKER BOX COVER SCREWS,LOOSE,,,
100145,ROCKER BOX COVER GASKET,LEAKING,,[2],
100146,ROCKER COVER GASKET,LEAKING,,[4],
100147,BRAKE LININGS,WORN,,,
100148,ROCKER COVER,LEAKING,,[3],R
100149,ENGINE,OVERSPEED,UP TO 3400 RPM @ TERMINATION OF AN AUTO,,
